file,image,venue_name,venue_location,date,act_name,performer,description,billing_notes,ticket_prices
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19, 1920",Vivacious Vocalism,Fred Lake,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19, 1920",Vivacious Vocalism,Tom Barrasford,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19 1920",Songs without Singer' 'Voices on Strings' A wonderful and perfect limitation of the Human Voice on Instruments,Miles Stavordale,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19 1920","Presenting Songs, Comedy, Dialect",J.H Scotland,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19 1920","Comedian, who talks a bit and sings a bit",Tom Gott,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19 1920","Presents the Musical Act, 'Granny's Birthday.'",Madam Godwin,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19 1920",Brown's Royal Bioscope Showing the latest news in animations,Owyns,,,
NFA178R12-267,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 19 1920",Present 'The Majors reflections.',Murphy & Mack,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",The Singer of some variety's greatest song successes,Whit Gunliffe,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",Who eaterteia with Jolly Soage,Joel Mangin,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",Who eaterteia with Jolly Soage,Syd Kerbel,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",Favourite Character Comedian,Arthur Ferris,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920","The World-Famous Musician-Athlete. The Kubelik of the Stroh VIolin and World's Amateur Champion Long Distance Pedestrian Holder of the World's Non-stop Record. The only living man to accomplish the wonderful feat of Walking the the incredible distance of 127 miles and 543 yards in 24 hours, without stopping for a single moment.",Tom Payne,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",(IDA and GRACE) Mexican Speaciality Dancers,Junes,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",Juggling Mumourist,Massona,,,
NFA178R12-263,,Argyle Theatre of Varieties,Birkenhead,"Monday, May 3, 1920",Presenting their classical atheltic act,De Wynne Brothers,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",Popular Comedian Dry and Droll,Wall Langtry,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",In Comedy Character Studies,Dollie,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",In Comedy Character Studies,Billie,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",American Comedy Conjurer,E. J. Moore,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",Dainty Vocalist and Dancer,Frances Kinders,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",England's Smaller Dapper Comedians,Ivor Vinter,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",High class Comedy Act,Jack,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",High class Comedy Act,Butt,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",Prince Charming,Neillie Wigley,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",In Selection from thier repertoire of old fold songs and comedy duets. At the piano- miss julia larkins,Muriel George,,,
NFA178R12-262,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 19, 1920",In Selection from thier repertoire of old fold songs and comedy duets. At the piano- miss julia larkins,Ernect Butcher,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920","successfull peter, in plaintive chanaoter comedy",Peter Pariss,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",The Favorite Entertainer without a Piano,Foster Kershaw,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",Duplicants Comedians,Terry Twins,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",Novelty Instrumentalist,Renee,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",Dago and his Black,Emerson,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",Dago and his Black,Gilbert,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",Delightful Comedienne,Diana Dane,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",In Up to dat Songs and Novel Dances,Howard,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",In Up to dat Songs and Novel Dances,Wyndham,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",In Songs and Laughs,May Erne,,,
NFA178R12-259,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 23, 1920",In Songs and Laughs,Erne Chester,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920",The Simple One,Ernie Mayne,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920","And his harp, assisted by md'lle ninalta, premiere danseuse, In a charming Fantasy, 'The Harpist's Dream.'",Norman Field,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920",In a Novel Vocal Comedy Scene,K-Foleys,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920","Entertainer, with his voices and piano",George Bolton,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920","And a piano, is types of typical talent",Nondescripts,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920",Juvenile Entertainer,May Kinahan,,,
NFA178R12-258,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 16, 1920",A beautiful Novelty,Merles Cockatoos,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914","In startingly Natural Representation of the many diverting and comic incidents of 'every day life in dog-town,' a wonderful animal pantomime! The organ grinder-the lady of fashion, the town pump, the nursemaid-leap frog, motor 'Buses and motor cars, with dog drivers and passengers- the merry toper-'watchman, what of the night?'-' the policeman's lot is not a happy one'- there was a sound of revelry by night- at the village inn- sweethearts- a warm reception-'time,gentle, please!'- sailing merriiy home-supported by the strong arm of the law- the motor ambulance- 'calm and peaveful will i sleep'-the alarm-fire!-arrival of motor engine and escape- the resecue-watch the marvellous work of the dog fireman",Lipinski's Dog Comedians,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",In his Clever Character Songs,Arhur Lennard,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",A comedy duo per exceilence,J. W. Wilson,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",A comedy duo per exceilence,Nellie Waring,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914","Comedian in his Character Monologue, 'Sal, old gal'",Billy Simpson,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",The Laughter Makers,Stacey,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",The Laughter Makers,Williams,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",A Clever American's vocal and instrumental act,Harry Thornton,,,
NFA178R12-220,,Argyle Theatre of Varieties,Birkenhead,"Monday, February 2, 1914",A Clever American's vocal and instrumental act,Emma Wagner,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913","In a screaming farce, entitled 'getting the bird!' by Aubrey FItzgerals",Aubrey Fitzgerald,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913","In a screaming farce, entitled 'getting the bird!' by Aubrey FItzgerals",Frank Hill,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913",The popular comedians,Wal Langtry,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913","Piano, Song and Laughter","Rathskellar Trio, Mitchell",,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913","Piano, Song and Laughter","Rathskellar Trio, Wells",,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913","Piano, Song and Laughter","Rathskellar Trio, Lewis",,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913","Harmonising Vocalists and Clever Dancer, in a pretty and Original Scene, 'At the seaside'",8 Seaside girls,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913",In early closing night,Nita crystal,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913",In early closing night,Geoffrey Saville,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913",Comedians,Rose Cambry,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913",Dainty Duettists and Speciality Dancers,Allen,,,
NFA178R12-215,,Argyle Theatre of Varieties,Birkenhead,"Monday, July 21, 1913",Introducing their famous bucking bicycle,A.D Robbins and his co,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913","In a new repertoire, songs on sunny subjects, assisted by mr f wilbur hill",Willette whitaker,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913","The world-renowned juggler, predipulator and aviator. Valazzi is the first British music hall artist to obtain a pilot certificate (no 433) for monoplane flying, as granted by the royal aero club of the united kingdom",Valazzi,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913",In a reviery of all the newest number in  ragtime,Carr's Juvenile American Ragtime Octette,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913",In their drawing room interlude,Stacey,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913",In their drawing room interlude,Williams,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913",Vocal COmedians,Beatrice Allen,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913",Pleasing young soprano Vocalist,Bella Chevaux,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913","In their latest episode of coster life, ;the speration order.'",Shirley,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913","In their latest episode of coster life, ;the speration order.'",Ramsome,,,
NFA178R12-211,,Argyle Theatre of Varieties,Birkenhead,"Monday, June 2, 1913",The popular comedian,George D'albert,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",Premier principal boy and clever musical comedy artist,Dorothy ward,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",The popular comedian who played 'Mrs. Malone's in the royal court theatre pantomime,Shaun Glenville,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",In a charming vocal and instrumental entertainment,walder wallis,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",The peer of American jugglers. originator of the 'waltzing coin.',Torino,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",A unique aerobatic and equilibristic display,Maningos,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",Coon character deliaetor,J.H Wakeffield,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",In comedy songs and neat dancers,Jenny,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",In comedy songs and neat dancers,Joe ,,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",American Comedy Musical Trio,"The three lyres, H.L. Harvey",,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",American Comedy Musical Trio,"The three lyres, F. C. Henderson",,,
NFA178R12-209,,Argyle Theatre of Varieties,Birkenhead,"Monday, April 7, 1913",American Comedy Musical Trio,"The three lyres, S. B. Lewis",,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913","In his new scena, baby in india",Wee Georgie Wood,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913","And west end london company, in a high class, cleveryly written, brilliantly constructed, and faultessly acted, domestio comedy sketch, bad fellows",Beaumont Collins,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913","In her beautiful scene, in the shadow of the pyramids",May Mars,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913",Chorus Songster,Nellie Lewis,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913",Yorkshire comedian,Jack w. Rooke,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913",Comedy duetists in harmony and troubles,Cosgrove,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913",Comedy duetists in harmony and troubles,Burns,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913",In after the trial,Phil Rees stable lads,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913",Favorite Comedian,Tom E. Dean,,,
NFA178R12-208,,Argyle Theatre of Varieties,Birkenhead,"Monday, March 31,1913","Featuring high laughable buriesque,  the rag-time village",J. P. Ling,,,
NFA178R12-207,,Argyle Theatre of Varieties,Birkinhead,"Monday, March 10, 1913","In their latest VAUDEVILLE, ''Quick Lunch,'' introducing a series of New Songs,Dances, and clever Topical allusions.",Jack,,,
NFA178R12-207,,Argyle Theatre of Varieties,Birkinhead,"Monday, March 10, 1913","In their latest VAUDEVILLE, ''Quick Lunch,'' introducing a series of New Songs,Dances, and clever Topical allusions.",Evelyn,,,
NFA178R12-207,,Argyle Theatre of Varieties,Birkinhead,"Monday, March 10, 1913",An American Novelty Act,Mayme Remington and Her Piccaninnies,,,
NFA178R12-207,,Argyle Theatre of Varieties,Birkinhead,"Monday, March 10, 1913",Favorite Monologist,Gus Hindell,,,
NFA178R12-207,,Argyle Theatre of Varieties,Birkinhead,"Monday, March 10, 1913",Comedy Tramp Musician,Gene Morelle,,,
