file,venue_name,venue_location,date,act_name,performers,description,billing_notes,ticket_prices
NFA178R12-103_binarized.png,Argyle Theatre of Varieties,Birkenhead,"MONDAY, FEB. 10, 1896, & EVERY EVENING DURING THE WEEK",MANNONS,SOUTH AFRICAN DOGS!,The Most Wonderful Act Ever Performed by Dogs.,Admitted by Pass and Pulla to be Unrestrained.,[illegible]
NFA178R12-103_binarized.png,Argyle Theatre of Varieties,Birkenhead,"MONDAY, FEB. 10, 1896, & EVERY EVENING DURING THE WEEK",FILLIS,VALROSE,"The Charming Comic-Vocalist, in all her latest Successes.",First Appearance of Miss MILLER,[illegible]
NFA178R12-103_binarized.png,Argyle Theatre of Varieties,Birkenhead,"MONDAY, FEB. 10, 1896, & EVERY EVENING DURING THE WEEK",CAIRNS,BURNAND FAUE,Radio-Comedians and Humorous Actors.,First Appearance here of Mr. ALLEN,[illegible]
NFA178R12-103_binarized.png,Argyle Theatre of Varieties,Birkenhead,"MONDAY, FEB. 10, 1896, & EVERY EVENING DURING THE WEEK",HARRY ZETTER,PURSSORD,Eccentric Comedian and Dancer.,"Special Engagement for Six Nights only, of Mr. WALTER",[illegible]
NFA178R12-103_binarized.png,Argyle Theatre of Varieties,Birkenhead,"MONDAY, FEB. 10, 1896, & EVERY EVENING DURING THE WEEK",EMR. SYDNEY LEE,TENNYSON O'GORMAN,In a Marvellous and bewildering Exhibition of Human Electricity.,The Only Show of its kind on the Variety Stage.,[illegible]
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",SPRY AND FLORENCE AUSTIN,SPRY; AUSTIN,The Premier Vaudeville Artist.,In A COMEDY ACT AT THE ESSENCE OF REFLEXIBNESS.,
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",MYRA MAY HOWARD,MYRA MAY HOWARD,The Planning Supreme Vaudeville.,First Appearance here of Mrs.,
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",BENNETT MARTELL,BENNETT MARTELL,"Comedians, Humorous Characters, Military Act and Song.",First Appearance here of Mr.,
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",KATE TOOLE,KATE TOOLE,The Popular London Bartlemite Actress.,,
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",LITTLE TONY,LITTLE TONY,Character Comedian.,,
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",NORA GONNOR,NORA GONNOR,Serio-Comic Vocalist and Dancer.,"Return Starring Beggar's Opera, London's Greatest Favourite.",
NFA178R12-104_binarized.png,ARGYLE THEATRE OF VARIETIES,BIRKENHEAD,"Monday, Aug. 10, 1896",MAUD NEEDHAM,MAUD NEEDHAM,Serio-Comic Vocalist.,The Promotional Theatre Association at his Latest Enthusiastic Performance.,
NFA178R12-10_binarized.png,Arcyle Theatre of Varieties,"(Late Prince of Wales), Angley Street, Birkenhead","Monday, Mar. 17, 1890.",RIPON,Pretty Peggy Pond,Lady Speciality Artist.,Return after a long absence of 7 H.,3p. 6d.
NFA178R12-10_binarized.png,Arcyle Theatre of Varieties,"(Late Prince of Wales), Angley Street, Birkenhead","Monday, Mar. 17, 1890.",McGRATH,SPEARS,Vocal Character Actor.,"She his Specialtation, 'What's His Name,' and 'An English Urgeon.'",3p. 6d.
NFA178R12-10_binarized.png,Arcyle Theatre of Varieties,"(Late Prince of Wales), Angley Street, Birkenhead","Monday, Mar. 17, 1890.",ARNOLD,TOM STANLEY,"The Scandalist Knockabout, Irish and American Comedians, Dancers and Burlesque Artists.",First Appearance here of Miss M. O.,3p. 6d.
NFA178R12-10_binarized.png,Arcyle Theatre of Varieties,"(Late Prince of Wales), Angley Street, Birkenhead","Monday, Mar. 17, 1890.",FRED AUSTIN,GERAGHTY AND GILLIGAN,The Talkative Two. Champion Chasers. Leather-Tongued Liminators. THE CONVERSATIONAL COMEDIANS.,"Beat any other Space of Burlesque on the boards; and bear this in mind, they",3p. 6d.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",FRAZER AND ALLEN,MIXTURES.,[No description provided],First Appearance of Miss,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",GLADYS LORNE,Bano-Comedians.,[No description provided],Engagement of Miss,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",3 STANNARDS AND MISS PATRICK,The Greatest of all Temperance VocaLists.,[No description provided],First Appearance of MR. ARTHUR,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",WEST,"The London Farquahans, Dustlins and Innuodde.",[No description provided],Return of the SISTERS,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",LEXMORE VOLTYNES,In Their Choral and Comical Performances on the Triple Monologue Stage.,[No description provided],First Appearance of,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",TED MILLINS,Comedian and Dancer.,[No description provided],First Appearance of,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",BRADY & JOHNSON,"VARIETY ENTERTAINMENT. Introducing their clever Performing Dog, ROSE.",[No description provided],MONDAY NIGHT.,3d. 6d. 9p.
NFA178R12-16_binarized.png,Argyle Theatre of Varieties,"Anglo Street, Albermarle","JAN. 26, 1891",DONALDSON BROS.,THE WORLD'S WONDERS.,[No description provided],,3d. 6d. 9p.
NFA178R12-17_binarized.png,Arcyle Theatre of Varieties,"Angle Street, BirminghAMD.","MONDAY, FEB. 2, 1891",Donaldson Brothers,Haslam; Carrie Joy; Mataros; Edgar Izon,America's Greatest and most Marvellous Performers. THE CENTURY'S SENSATION.,Mr. J. M.,3d. 6d. 9d. 1s.
NFA178R12-17_binarized.png,Arcyle Theatre of Varieties,"Angle Street, BirminghAMD.","MONDAY, FEB. 2, 1891",The Musical Combination,West; Nellie North; Forrest,Great Singers and Last Six Nights of Mr. Arthur,,3d. 6d. 9d. 1s.
NFA178R12-18_binarized.png,Arcyle Theatres of Varieties,"Late Prince of Wales, Angle Street, Birkenhead","Monday, April 6, 1891",Two Mags,Mike & Joe,The Greatest Irish Comedians on Earth,Their First Engagement in Birkenhead since they appeared in conjunction with the Liverpool STAR Company.,3d. 6d. 6d. 1s.
NFA178R12-18_binarized.png,Arcyle Theatres of Varieties,"Late Prince of Wales, Angle Street, Birkenhead","Monday, April 6, 1891",Peggy Pond,Sisters Weston,The Pianomaking Singer and Descriptive Vocalist.,,3d. 6d. 6d. 1s.
NFA178R12-18_binarized.png,Arcyle Theatres of Varieties,"Late Prince of Wales, Angle Street, Birkenhead","Monday, April 6, 1891",Blane,Maccabe,The Popular Tyrannical Teacher and Acting Warrior.,,3d. 6d. 6d. 1s.
NFA178R12-18_binarized.png,Arcyle Theatres of Varieties,"Late Prince of Wales, Angle Street, Birkenhead","Monday, April 6, 1891",Spears,Hibbs' Quartette,Military and Comic Vocalist.,,3d. 6d. 6d. 1s.
NFA178R12-18_binarized.png,Arcyle Theatres of Varieties,"Late Prince of Wales, Angle Street, Birkenhead","Monday, April 6, 1891",Miss Ada Lundberg,The Great Mills,The Greatest Star Low Comedy Artist in the World. Politically Believes His Rights.,,3d. 6d. 6d. 1s.
NFA178R12-204_binarized.png,Argyle Theatre of Varieties,Birkenhead,"Monday, Dec. 18th, 1911",Beth Morny,The California Girl,A Clever Star Comedianess with a Style completely her own.,,
NFA178R12-204_binarized.png,Argyle Theatre of Varieties,Birkenhead,"Monday, Dec. 18th, 1911",Four Sollies,Steve Bartle; Lizzie Glenroy; Ellis Barrieton,A Combination of Variety and Surprise.,,
NFA178R12-204_binarized.png,Argyle Theatre of Varieties,Birkenhead,"Monday, Dec. 18th, 1911","W. Selkirk's Grand Juvenile Spectacle, The Boy Scouts",Kindred of Selkirk's Chorus Sample,Performed by a Host of Birkenhead Children.,,
NFA178R12-205_binarized.png,Argyle Theatre of Varieties,Birkenhead,"Monday, Feb. 10, 1913",RADFORD VALENTINE,Maggie Benson,The Jolly Juggling Jester,,4d
NFA178R12-205_binarized.png,Argyle Theatre of Varieties,Birkenhead,"Monday, Feb. 10, 1913",MR. & MISS DEBREAN,Henry Helme,The Romantically Japanese Entertainer. The World's Premier Nephrographist. Accompanying THE MYSTERIOUS HEAD with amazing effects.,,4d
NFA178R12-205_binarized.png,Argyle Theatre of Varieties,Birkenhead,"Monday, Feb. 10, 1913",HAIDEE DE RANCE,Johnson & Bert Victor Travers,The Phenomenal Young Violinist and Vocalist.,,4d
NFA178R12-207_binarized.png,A'Gyle Theatre of Varieties,Birkenhead,"Monday, March 10, 1913",Jack and Evelyn Lloyd Morgan,Jack; Evelyn; Lloyd Morgan,"In their latest vaudeville, 'Quick Lunch'. Introducing a series of new songs, dances, and clever topical allusions.",First Time in Birkenhead,"No. 4d Circles & Stalls, 1s. Balcony, 6d. Pit & Amphitheatre 4d."
NFA178R12-207_binarized.png,A'Gyle Theatre of Varieties,Birkenhead,"Monday, March 10, 1913",Mayme Benington and her Piccaninnies,Mayme Benington,An American novelty act,,"No. 4d Circles & Stalls, 1s. Balcony, 6d. Pit & Amphitheatre 4d."
NFA178R12-207_binarized.png,A'Gyle Theatre of Varieties,Birkenhead,"Monday, March 10, 1913",Gus Hindell and Tom Neil,Gus Hindell; Tom Neil,Presenting Monologist,,"No. 4d Circles & Stalls, 1s. Balcony, 6d. Pit & Amphitheatre 4d."
NFA178R12-207_binarized.png,A'Gyle Theatre of Varieties,Birkenhead,"Monday, March 10, 1913",Gene Morelle and Stella Stahl,Gene Morelle; Stella Stahl,Comedians,,"No. 4d Circles & Stalls, 1s. Balcony, 6d. Pit & Amphitheatre 4d."
NFA178R12-207_binarized.png,A'Gyle Theatre of Varieties,Birkenhead,"Monday, March 10, 1913",Brown's Royal Bioscope,Brown's Royal Bioscope,Showing the Latest Novelties in Life-Motion Pictures,,"No. 4d Circles & Stalls, 1s. Balcony, 6d. Pit & Amphitheatre 4d."
