accession_id,performance_date,act_name,act_description,source_file,poster_id,primary_category,all_categories,num_labels
178R12,"EASTER MONDAY, APRIL 3rd, 1893",Mr. ARTHUR LLOYD,"THE GREAT VOCAL COMEDIAN.
The name of Arthur Lloyd is known in every English-speaking country
in the world; he is the Author of upwards of 1,000 Humorous Songs and
the Great Irish Drama, ""Ballyvogan.""",NFA178R12-38.jpg,178R12.38,Singing,Singing,1
178R12,"EASTER MONDAY, APRIL 3rd, 1893",HOLMES,"The Great Continental Wonders, for Six Nights only, Professor ALF.",NFA178R12-38.jpg,178R12.38,Magic,"Magic, Comedians",2
178R12,"EASTER MONDAY, APRIL 3rd, 1893",MISS MARION LENA,"In their Bewildering Performance both Novel and Amusing.
For Six Nights only, Mr. GEORGE",NFA178R12-38.jpg,178R12.38,Magic,"Magic, Singing",2
178R12,"EASTER MONDAY, APRIL 3rd, 1893",PRINCE,"Character Comic Vocalist.-Hear his Great Football Song.
Engagement, for this Week, of the Renowned Messrs.",NFA178R12-38.jpg,178R12.38,Imitation,"Imitation, Comedians",2
178R12,"EASTER MONDAY, APRIL 3rd, 1893",SAWYER & ELLIS,"Eccentric Knookabout Comedians, Vocalists and Dancers.
For One Week only, Mons.",NFA178R12-38.jpg,178R12.38,Dance,Dance,1
178R12,"EASTER MONDAY, APRIL 3rd, 1893",DE CONE,"The Greatest and Grandest Wizard Show on Earth.
For One Week only, the Charming SISTERS",NFA178R12-38.jpg,178R12.38,Magic,Magic,1
178R12,"EASTER MONDAY, APRIL 3rd, 1893",LESLIE,Duettists and Dancers.,NFA178R12-38.jpg,178R12.38,Dance,Dance,1
178R12,"EASTER MONDAY, APRIL 3rd, 1893",KING-LLOYD,"In conjunction with Mr. ARTHUR LLOYD, his Son and Daughter, Mr. HARRY",NFA178R12-38.jpg,178R12.38,Acrobats,"Acrobats, Gymnasts",2
178R12,"EASTER MONDAY, APRIL 3rd, 1893",ANNIE KING-LLOYD,"And Miss
Will appear in a Selection from their numerous Sketches nightly.",NFA178R12-38.jpg,178R12.38,Animal trainers,Animal trainers,1
178R12,"EASTER MONDAY, APRIL 3rd, 1893",VIOLET REEFERN,"Last Six Nights of Miss
Serio-Comic Vocalist and Dancer.",NFA178R12-38.jpg,178R12.38,Dance,"Dance, Comedians",2
